58520,0610007P14Rik
66050,0610009B22Rik
66838,0610009L18Rik
66839,0610009O20Rik
71675,0610010F05Rik
104457,0610010K14Rik
68347,0610011F06Rik
106264,0610012G03Rik
68364,0610030E20Rik
74098,0610037L13Rik
67672,0610040B10Rik
66117,1110001J03Rik
100043040,1110002L01Rik
68001,1110004E09Rik
56372,1110004F10Rik
68480,1110007C09Rik
67388,1110008F13Rik
66132,1110008L16Rik
73737,1110008P14Rik
68618,1110012L19Rik
68941,1110018N20Rik
76311,1110019D14Rik
68721,1110032A03Rik
68725,1110032F04Rik
73747,1110034G24Rik
66185,1110037F02Rik
68763,1110038B12Rik
117171,1110038F14Rik
68808,1110046J04Rik
228356,1110051M20Rik
68832,1110057K04Rik
68002,1110058L19Rik
66206,1110059E24Rik
66202,1110059G10Rik
68920,1110065P20Rik
68861,1190002N15Rik
544717,1190007I07Rik
66874,1200014J11Rik
100043489,1300002E11Rik
319830,1500004A13Rik
76505,1500009C09Rik
69784,1500009L16Rik
66236,1500011B03Rik
67885,1500011K16Rik
68949,1500012F01Rik
68982,1500015A07Rik
69002,1500026H17Rik
72016,1600002H07Rik
69770,1600002K03Rik
67912,1600012H06Rik
72244,1600014C10Rik
72012,1600020E01Rik
69315,1700001L19Rik
73598,1700001O22Rik
71837,1700003E16Rik
69327,1700007K13Rik
69349,1700008O03Rik
74211,1700017B05Rik
67080,1700019D03Rik
75549,1700019L22Rik
66602,1700020I14Rik
67851,1700021F05Rik
100502698,1700021K19Rik
69441,1700023F06Rik
69399,1700025G04Rik
69479,1700029J07Rik
69528,1700030J22Rik
72254,1700030K09Rik
73261,1700037C18Rik
67326,1700037H04Rik
69430,1700048O20Rik
73430,1700049G17Rik
73419,1700052N19Rik
73467,1700066M21Rik
74284,1700086L19Rik
73516,1700086O06Rik
27660,1700088E04Rik
73545,1700094D03Rik
73571,1700096K18Rik
100504641,1700101I11Rik
58248,1700123O20Rik
66276,1810009A15Rik
69066,1810010H24Rik
69053,1810013L24Rik
66263,1810014B01Rik
69126,1810022K09Rik
69170,1810026B05Rik
69773,1810026J23Rik
